task,row,col,x,y_coord,label,mean_ndvi
fvc_ndvi,172,3648,120.5224700938956,51.79236770591101,4,7834.6665
fvc_ndvi,173,3868,122.49876371895854,51.783384553069816,4,7428.3335
fvc_ndvi,174,3793,121.8250272558689,51.77440140022862,4,7745.6665
fvc_ndvi,175,1208,98.60357716137928,51.76541824738743,3,5960.6665
fvc_ndvi,175,1336,99.75342072505227,51.76541824738743,2,4948.3335
fvc_ndvi,175,3747,121.41180222517393,51.76541824738743,4,7525.3335
fvc_ndvi,176,3779,121.69926311609217,51.756435094546234,4,7703.6665
fvc_ndvi,178,1180,98.35204888182581,51.73846878886384,3,6386.3335
fvc_ndvi,178,1286,99.3042630829925,51.73846878886384,3,5472.0
fvc_ndvi,178,3838,122.22926913372268,51.73846878886384,4,7555.0
fvc_ndvi,179,1362,99.98698269892334,51.729485636022645,2,4922.6665
fvc_ndvi,179,1376,100.11274683870008,51.729485636022645,2,5140.6665
fvc_ndvi,181,1190,98.44188041023776,51.71151933034025,3,6277.6665
fvc_ndvi,181,1435,100.64275285633059,51.71151933034025,2,5330.0
fvc_ndvi,181,3800,121.88790932575728,51.71151933034025,4,7733.0
fvc_ndvi,181,3817,122.0406229240576,51.71151933034025,4,7616.3335
fvc_ndvi,181,3843,122.27418489792868,51.71151933034025,4,7504.0
fvc_ndvi,182,1236,98.85510544093275,51.70253617749906,3,6233.0
fvc_ndvi,183,1334,99.73545441936987,51.69355302465787,3,5346.3335
fvc_ndvi,183,1399,100.31935935404756,51.69355302465787,3,6141.3335
fvc_ndvi,184,3653,120.56738585810157,51.68456987181667,4,7863.3335
fvc_ndvi,184,3731,121.2680717797148,51.68456987181667,4,7881.6665
fvc_ndvi,184,3879,122.59757840021169,51.68456987181667,4,7449.3335
fvc_ndvi,185,1387,100.21156151995322,51.675586718975474,3,6176.0
fvc_ndvi,186,1218,98.69340868979123,51.66660356613428,3,5414.0
fvc_ndvi,186,1381,100.15766260290604,51.66660356613428,3,6286.6665
fvc_ndvi,186,3718,121.15129079277926,51.66660356613428,4,7828.3335
fvc_ndvi,187,1220,98.71137499547362,51.65762041329308,2,5218.6665
fvc_ndvi,187,1224,98.7473076068384,51.65762041329308,2,5218.6665
fvc_ndvi,187,1315,99.56477451538716,51.65762041329308,3,6281.6665
fvc_ndvi,187,3673,120.74704891492547,51.65762041329308,4,7823.3335
fvc_ndvi,188,3778,121.69027996325099,51.64863726045189,4,7662.6665
fvc_ndvi,188,3798,121.86994302007488,51.64863726045189,4,7944.0
fvc_ndvi,189,1385,100.19359521427083,51.639654107610696,3,6283.3335
fvc_ndvi,189,3796,121.85197671439249,51.639654107610696,4,7944.0
fvc_ndvi,189,3863,122.45384795475258,51.639654107610696,4,7280.3335
fvc_ndvi,190,1283,99.27731362446892,51.6306709547695,4,6472.6665
fvc_ndvi,190,3743,121.37586961380914,51.6306709547695,4,7793.3335
fvc_ndvi,190,3866,122.48079741327615,51.6306709547695,4,7280.3335
fvc_ndvi,191,1262,99.08866741480381,51.6216878019283,3,6406.6665
fvc_ndvi,191,1272,99.17849894321577,51.6216878019283,3,6234.3335
fvc_ndvi,191,3868,122.49876371895854,51.6216878019283,4,7280.3335
fvc_ndvi,191,3873,122.54367948316452,51.6216878019283,4,7378.0
fvc_ndvi,192,1234,98.83713913525035,51.61270464908711,3,5554.6665
fvc_ndvi,192,3723,121.19620655698523,51.61270464908711,4,7764.6665
fvc_ndvi,194,1256,99.03476849775664,51.594738343404714,3,6205.3335
fvc_ndvi,194,1434,100.63376970348939,51.594738343404714,4,6564.3335
fvc_ndvi,194,3698,120.97162773595537,51.594738343404714,4,7752.0
fvc_ndvi,195,1311,99.52884190402239,51.585755190563525,4,6922.3335
fvc_ndvi,195,1420,100.50800556371266,51.585755190563525,2,5155.3335
fvc_ndvi,196,1171,98.27120050625506,51.57677203772233,3,5645.0
fvc_ndvi,196,3625,120.3158575785481,51.57677203772233,4,7877.6665
fvc_ndvi,196,3690,120.8997625132258,51.57677203772233,4,7805.0
fvc_ndvi,196,3851,122.34605012065822,51.57677203772233,4,7250.3335
fvc_ndvi,196,3879,122.59757840021169,51.57677203772233,4,7303.6665
fvc_ndvi,197,1232,98.81917282956796,51.56778888488113,3,5402.6665
fvc_ndvi,198,1244,98.9269706636623,51.558805732039936,3,5853.3335
fvc_ndvi,200,3646,120.50450378821321,51.54083942635754,4,7897.3335
fvc_ndvi,200,3785,121.75316203313935,51.54083942635754,4,7881.6665
fvc_ndvi,201,1214,98.65747607842644,51.531856273516354,2,5200.0
