task,row,col,x,y_coord,label,confidence,dem,slope,aspect,twi_proxy,2012_ndvi_point,2013_ndvi_point,2014_ndvi_point,ndvi_time_mean,ndvi_time_min,ndvi_time_max,ndvi_time_std,ndvi_time_range
subtype,86,3684,120.84586359617862,52.564918850253804,0,1.0,613.0,9.147467,199.29277,1.8261966,7883.0,7371.0,7805.0,7686.3335,7371.0,7883.0,225.23665,512.0
subtype,93,3672,120.73806576208429,52.50203678036544,0,1.0,557.0,11.060293,85.22148,1.63233,7867.0,7366.0,7827.0,7686.6665,7366.0,7867.0,227.33284,501.0
subtype,95,3703,121.01654350016133,52.484070474683044,0,1.0,1147.0,8.341194,254.98073,1.919914,7334.0,7174.0,7490.0,7332.6665,7174.0,7490.0,129.0099,316.0
subtype,96,3706,121.04349295868492,52.47508732184185,0,1.0,943.0,3.5473876,314.46353,2.7807205,7334.0,7174.0,7490.0,7332.6665,7174.0,7490.0,129.0099,316.0
subtype,97,3681,120.81891413765504,52.46610416900065,0,1.0,545.0,4.7607,32.083176,2.485515,7639.0,7328.0,7747.0,7571.3335,7328.0,7747.0,177.62195,419.0
subtype,98,3749,121.42976853085631,52.457121016159455,0,1.0,723.0,10.490717,49.843155,1.6864676,7376.0,7283.0,7942.0,7533.6665,7283.0,7942.0,291.2208,659.0
subtype,103,3684,120.84586359617862,52.41220525195348,0,1.0,880.0,11.150371,99.510506,1.624012,7471.0,7239.0,7893.0,7534.3335,7239.0,7893.0,270.72412,654.0
subtype,105,3679,120.80094783197265,52.394238946271095,0,1.0,752.0,9.218051,78.42348,1.8183767,7518.0,7299.0,7489.0,7435.3335,7299.0,7518.0,97.126495,219.0
subtype,106,3717,121.14230763993807,52.3852557934299,0,1.0,939.0,16.416748,278.47513,1.2220191,7448.0,7229.0,7781.0,7486.0,7229.0,7781.0,226.94934,552.0
subtype,109,3720,121.16925709846166,52.35830633490631,0,1.0,789.0,14.998145,235.43958,1.3170837,7537.0,7229.0,7895.0,7553.6665,7229.0,7895.0,272.14865,666.0
subtype,110,3818,122.04960607689878,52.34932318206511,0,1.0,800.0,6.4460015,308.6494,2.1805265,7199.0,7374.0,8202.0,7591.6665,7199.0,8202.0,437.44434,1003.0
subtype,111,3729,121.25010547403241,52.34034002922392,0,1.0,637.0,11.327614,12.720322,1.6078295,7587.0,7110.0,7999.0,7565.3335,7110.0,7999.0,363.25595,889.0
subtype,113,3660,120.63026792798993,52.32237372354153,0,1.0,406.0,12.9552,61.84234,1.469477,7883.0,7251.0,7939.0,7691.0,7251.0,7939.0,311.96582,688.0
subtype,114,3705,121.03450980584373,52.313390570700335,0,1.0,673.0,5.0206075,329.88193,2.4321005,7597.0,7336.0,7981.0,7638.0,7336.0,7981.0,264.91132,645.0
subtype,114,3820,122.06757238258118,52.313390570700335,0,1.0,809.0,7.658365,323.8359,2.0064409,7558.0,7493.0,8298.0,7783.0,7493.0,8298.0,365.12555,805.0
subtype,116,3820,122.06757238258118,52.29542426501794,0,1.0,702.0,1.3746269,312.73355,3.729811,7539.0,7413.0,8102.0,7684.6665,7413.0,8102.0,299.54892,689.0
subtype,117,3680,120.80993098481385,52.286441112176746,0,1.0,786.0,13.239411,295.99808,1.4470016,7563.0,7202.0,7883.0,7549.3335,7202.0,7883.0,278.18497,681.0
subtype,118,3732,121.277054932556,52.27745795933556,0,1.0,577.0,4.788086,155.12262,2.4797528,7488.0,7384.0,7906.0,7592.6665,7384.0,7906.0,225.59157,522.0
subtype,118,3796,121.85197671439249,52.27745795933556,0,1.0,905.0,14.52588,317.15686,1.3505391,7347.0,7493.0,8028.0,7622.6665,7347.0,8028.0,292.746,681.0
subtype,119,3871,122.52571317748213,52.26847480649436,0,1.0,788.0,2.1204648,331.59195,3.296108,7268.0,7570.0,8010.0,7616.0,7268.0,8010.0,304.66156,742.0
subtype,120,3717,121.14230763993807,52.259491653653164,0,1.0,857.0,4.576148,241.65959,2.5252273,7957.0,7288.0,7953.0,7732.6665,7288.0,7957.0,314.43106,669.0
subtype,120,3808,121.95977454848683,52.259491653653164,0,1.0,929.0,2.6495554,214.80994,3.0731003,7500.0,7399.0,8231.0,7710.0,7399.0,8231.0,370.70294,832.0
subtype,120,3855,122.381982732023,52.259491653653164,0,1.0,736.0,3.9123054,309.4159,2.6825297,7561.0,7577.0,8136.0,7758.0,7561.0,8136.0,267.36615,575.0
subtype,122,3898,122.7682583041944,52.24152534797077,0,1.0,1080.0,10.611657,138.87262,1.6747421,7617.0,7643.0,8213.0,7824.3335,7617.0,8213.0,275.03372,596.0
subtype,123,3677,120.78298152629026,52.232542195129575,0,1.0,570.0,5.478601,132.77406,2.3443127,8010.0,7259.0,7812.0,7693.6665,7259.0,8010.0,317.8074,751.0
subtype,123,3794,121.8340104087101,52.232542195129575,0,1.0,764.0,7.353273,297.55963,2.0475621,7694.0,7695.0,8138.0,7842.3335,7694.0,8138.0,209.0683,444.0
subtype,123,3826,122.12147129962835,52.232542195129575,0,1.0,653.0,17.12112,66.09179,1.1775104,7513.0,7335.0,7960.0,7602.6665,7335.0,7960.0,262.91486,625.0
subtype,127,3754,121.4746842950623,52.1966095837648,0,1.0,1150.0,10.263461,129.01366,1.7088546,7831.0,7632.0,8125.0,7862.6665,7632.0,8125.0,202.50815,493.0
subtype,127,3785,121.75316203313935,52.1966095837648,0,1.0,779.0,15.2014065,283.86957,1.3029782,7599.0,7441.0,8086.0,7708.6665,7441.0,8086.0,274.50116,645.0
subtype,127,3877,122.5796120945293,52.1966095837648,0,1.0,864.0,20.346806,67.63189,0.99198127,7392.0,7602.0,8018.0,7670.6665,7392.0,8018.0,260.135,626.0
subtype,128,3675,120.76501522060786,52.1876264309236,0,1.0,425.0,2.0378616,81.225586,3.335876,8057.0,7462.0,7968.0,7829.0,7462.0,8057.0,262.03943,595.0
subtype,129,3704,121.02552665300253,52.178643278082404,0,1.0,682.0,17.017952,251.38474,1.1839273,7608.0,7462.0,8044.0,7704.6665,7462.0,8044.0,247.23717,582.0
subtype,134,3851,122.34605012065822,52.13372751387643,0,1.0,869.0,3.1966507,38.968105,2.885067,7855.0,7498.0,8133.0,7828.6665,7498.0,8133.0,259.90552,635.0
subtype,135,3820,122.06757238258118,52.12474436103523,0,1.0,671.0,30.839405,56.943222,0.5157491,8022.0,7548.0,8280.0,7950.0,7548.0,8280.0,303.14352,732.0
subtype,136,3832,122.17537021667552,52.11576120819404,0,1.0,715.0,2.10463,107.18164,3.30361,7971.0,7578.0,8364.0,7971.0,7578.0,8364.0,320.88315,786.0
subtype,137,3772,121.63638104620381,52.10677805535285,0,1.0,749.0,6.4755826,238.26215,2.175909,7979.0,7490.0,8333.0,7934.0,7490.0,8333.0,345.6212,843.0
subtype,138,3710,121.0794255700497,52.09779490251165,0,1.0,776.0,17.272743,80.961044,1.1681408,7727.0,7510.0,7889.0,7708.6665,7510.0,7889.0,155.26822,379.0
subtype,138,3774,121.6543473518862,52.09779490251165,0,1.0,587.0,8.483365,270.0,1.902768,8175.0,7788.0,8300.0,8087.6665,7788.0,8300.0,217.95464,512.0
subtype,140,3719,121.16027394562046,52.07982859682926,0,1.0,686.0,2.118439,151.69353,3.2970645,8041.0,7510.0,7848.0,7799.6665,7510.0,8041.0,219.4574,531.0
subtype,141,3736,121.31298754392077,52.07084544398806,0,1.0,813.0,11.208756,297.752,1.6186545,7430.0,7385.0,7934.0,7583.0,7385.0,7934.0,248.87346,549.0
subtype,141,3856,122.39096588486422,52.07084544398806,0,1.0,1047.0,4.7488713,148.14627,2.4880145,7422.0,7524.0,8110.0,7685.3335,7422.0,8110.0,303.1582,688.0
subtype,142,3820,122.06757238258118,52.061862291146866,0,1.0,628.0,1.5382751,101.66114,3.6172876,7849.0,7920.0,8201.0,7990.0,7849.0,8201.0,151.98903,352.0
subtype,143,3768,121.60044843483902,52.05287913830567,0,1.0,570.0,1.1812181,58.231182,3.8814905,8108.0,7424.0,8142.0,7891.3335,7424.0,8142.0,330.74594,718.0
subtype,143,3801,121.89689247859846,52.05287913830567,0,1.0,910.0,9.902624,185.76305,1.7453943,8360.0,7785.0,8359.0,8168.0,7785.0,8360.0,270.8222,575.0
subtype,145,3680,120.80993098481385,52.034912832623284,0,1.0,541.0,10.394927,72.789055,1.6958468,7837.0,7377.0,7880.0,7698.0,7377.0,7880.0,227.6591,503.0
subtype,145,3699,120.98061088879655,52.034912832623284,0,1.0,829.0,7.963259,228.728,1.9669133,7606.0,7516.0,7854.0,7658.6665,7516.0,7854.0,142.925,338.0
subtype,151,3808,121.95977454848683,51.98101391557611,0,1.0,831.0,7.3732653,331.74634,2.044817,7805.0,7481.0,7920.0,7735.3335,7481.0,7920.0,185.86794,439.0
subtype,152,3751,121.4477348365387,51.97203076273492,0,1.0,732.0,11.2313175,208.99014,1.6165913,7819.0,7516.0,7995.0,7776.6665,7516.0,7995.0,197.82877,479.0
subtype,152,3885,122.65147731725887,51.97203076273492,0,1.0,994.0,5.7222548,119.17697,2.3005216,7425.0,7486.0,7795.0,7568.6665,7425.0,7795.0,161.96776,370.0
subtype,153,3706,121.04349295868492,51.96304760989372,0,1.0,754.0,11.580948,39.813393,1.5851111,7405.0,7065.0,7844.0,7438.0,7065.0,7844.0,318.88034,779.0
subtype,153,3751,121.4477348365387,51.96304760989372,0,1.0,798.0,9.077685,260.22025,1.8339849,7819.0,7516.0,7995.0,7776.6665,7516.0,7995.0,197.82877,479.0
subtype,154,3886,122.66046047010006,51.954064457052525,0,1.0,891.0,2.536267,168.61272,3.1168575,7425.0,7486.0,7795.0,7568.6665,7425.0,7795.0,161.96776,370.0
subtype,155,3742,121.36688646096795,51.94508130421133,0,1.0,656.0,2.0973191,107.243454,3.307093,7777.0,7585.0,8160.0,7840.6665,7585.0,8160.0,239.02068,575.0
subtype,155,3777,121.68129681040978,51.94508130421133,0,1.0,1123.0,18.403702,158.41313,1.1004285,7720.0,7634.0,8116.0,7823.3335,7634.0,8116.0,209.90367,482.0
subtype,155,3836,122.2113028280403,51.94508130421133,0,1.0,940.0,7.9877324,94.43702,1.9638048,7988.0,7725.0,8128.0,7947.0,7725.0,8128.0,167.05887,403.0
subtype,156,3885,122.65147731725887,51.93609815137014,0,1.0,870.0,1.1789956,121.83575,3.8833742,7699.0,7463.0,8033.0,7731.6665,7463.0,8033.0,233.84514,570.0
subtype,158,3659,120.62128477514875,51.918131845687746,0,1.0,436.0,5.5802126,180.0,2.3258212,8082.0,7609.0,7873.0,7854.6665,7609.0,8082.0,193.5361,473.0
subtype,158,3802,121.90587563143967,51.918131845687746,0,1.0,746.0,10.522084,334.94846,1.6834141,7791.0,7630.0,7971.0,7797.3335,7630.0,7971.0,139.28467,341.0
subtype,159,3660,120.63026792798993,51.90914869284655,0,1.0,584.0,6.2405295,134.02136,2.2131875,8082.0,7609.0,7873.0,7854.6665,7609.0,8082.0,193.5361,473.0
subtype,162,3745,121.39383591949154,51.88219923432296,0,1.0,872.0,4.116398,121.86657,2.631512,7621.0,7597.0,8259.0,7825.6665,7597.0,8259.0,306.56958,662.0
subtype,163,3869,122.50774687179975,51.87321608148177,0,1.0,985.0,7.1701946,64.43928,2.0730467,7008.0,7522.0,8138.0,7556.0,7008.0,8138.0,461.94662,1130.0
subtype,166,3701,120.99857719447894,51.84626662295818,0,1.0,725.0,8.18725,154.882,1.9388031,7865.0,7645.0,8078.0,7862.6665,7645.0,8078.0,176.77922,433.0
subtype,166,3741,121.35790330812677,51.84626662295818,0,1.0,586.0,4.1574144,166.11008,2.6215627,7719.0,7593.0,8082.0,7798.0,7593.0,8082.0,207.30171,489.0
subtype,166,3812,121.9957071598516,51.84626662295818,0,1.0,901.0,15.998688,207.15744,1.2492435,7917.0,7579.0,7911.0,7802.3335,7579.0,7917.0,157.93951,338.0
subtype,167,3687,120.87281305470222,51.83728347011699,0,1.0,554.0,6.060018,215.1105,2.2427661,7925.0,7608.0,7830.0,7787.6665,7608.0,7925.0,132.83154,317.0
subtype,167,3846,122.30113435645225,51.83728347011699,0,1.0,812.0,0.3109927,0.0,5.2160187,7426.0,7629.0,7903.0,7652.6665,7426.0,7903.0,195.45218,477.0
subtype,168,3713,121.1063750285733,51.82830031727579,0,1.0,688.0,15.50475,294.2606,1.2822413,7678.0,7437.0,7864.0,7659.6665,7437.0,7864.0,174.80338,427.0
